Unnamed: 0,movie_title,year,director,actors,war,biography,western,thriller,adventure,romance,reality-tv,mystery,horror,film-noir,musical,sport,animation,action,comedy,fantasy,history,sci-fi,music,crime,drama,family,overviews,description
1,The Dark Knight,2008,Christopher Nolan,"Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.","['Joker', 'Jim Gordon', 'Batman', 'Gotham', 'Harvey Dent']"
2,The Lord of the Rings: The Return of the King,2003,Peter Jackson,"Elijah Wood, Viggo Mortensen, Ian McKellen, Orlando Bloom",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,"Aragorn is revealed as the heir to the ancient kings as he, Gandalf and the other members of the broken fellowship struggle to save Gondor from Sauron's forces. Meanwhile, Frodo and Sam take the ring closer to the heart of Mordor, the dark lord's realm.","['Frodo', 'Aragorn', 'Sam', 'Gandalf', 'Gondor', 'Sauron', 'Mordor']"
3,Inception,2010,Christopher Nolan,"Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page, Ken Watanabe",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,"Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious.",['Cobb']
4,The Lord of the Rings: The Two Towers,2002,Peter Jackson,"Elijah Wood, Ian McKellen, Viggo Mortensen, Orlando Bloom",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,"Frodo and Sam are trekking to Mordor to destroy the One Ring of Power while Gimli, Legolas and Aragorn search for the orc-captured Merry and Pippin. All along, nefarious wizard Saruman awaits the Fellowship members at the Orthanc Tower in Isengard.","['Isengard', 'Frodo', 'Aragorn', 'Fellowship', 'the Orthanc Tower', 'Saruman', 'Sam', 'Pippin', 'Merry', 'Gimli', 'Mordor', 'the One Ring of Power', 'Legolas']"
5,The Lord of the Rings: The Fellowship of the Ring,2001,Peter Jackson,"Elijah Wood, Ian McKellen, Orlando Bloom, Sean Bean",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,"Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed.","['Young hobbit Frodo Baggins', 'Bilbo']"
6,The Matrix,1999,"Directors:Lana Wachowski, Lilly Wachowski","Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,"Set in the 22nd century, The Matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth.","['The Matrix', 'the 22nd century']"
8,Terminator 2: Judgment Day,1991,James Cameron,"Arnold Schwarzenegger, Linda Hamilton, Edward Furlong, Robert Patrick",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,"Nearly 10 years have passed since Sarah Connor was targeted for termination by a cyborg from the future. Now her son, John, the future leader of the resistance, is the target for a newer, more deadly terminator. Once again, the resistance has managed to send a protector back to attempt to save John and his mother Sarah.","['Nearly 10 years', 'Sarah Connor', 'Sarah', 'John']"
15,Gladiator,2000,Ridley Scott,"Russell Crowe, Joaquin Phoenix, Connie Nielsen, Oliver Reed",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,"In the year 180, the death of emperor Marcus Aurelius throws the Roman Empire into chaos.  Maximus is one of the Roman army's most capable and trusted generals and a key advisor to the emperor.  As Marcus' devious son Commodus ascends to the throne, Maximus is set to be executed.  He escapes, but is captured by slave traders.  Renamed Spaniard and forced to become a gladiator, Maximus must battle to the death with other men for the amusement of paying audiences.","['Maximus', 'one', 'Commodus', 'Marcus Aurelius', 'the Roman Empire', 'Roman', 'Marcus', 'Spaniard', 'the year 180']"
18,Spider-Man: Into the Spider-Verse,2018,"Directors:Bob Persichetti, Peter Ramsey, Rodney Rothman","Shameik Moore, Jake Johnson, Hailee Steinfeld, Mahershala Ali",0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"Miles Morales is juggling his life between being a high school student and being a spider-man. When Wilson ""Kingpin"" Fisk uses a super collider, others from across the Spider-Verse are transported to this dimension.","['the Spider-Verse', 'Fisk', 'Miles Morales', 'Wilson']"
19,Avengers: Endgame,2019,"Directors:Anthony Russo, Joe Russo","Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,"After the devastating events of Avengers: Infinity War, the universe is in ruins due to the efforts of the Mad Titan, Thanos. With the help of remaining allies, the Avengers must assemble once more in order to undo Thanos' actions and restore order to the universe once and for all, no matter what consequences may be in store.","['Thanos', 'Avengers: Infinity War', 'the Mad Titan', 'Avengers']"
